time_to_saturation,final_utilization,price_volatility,avg_trade_price,gini_holdings,speculator_holdings,conservative_holdings,num_trades,total_cash,farmer_capital,info_level,run
68,1.0,90.50267606540704,587.375,0.51875,11,5,16,350602,10000,blind,0
49,1.0,81.01003024317421,586.0,0.7,12,4,16,350624,10000,blind,1
46,1.0,90.97037635956003,597.625,0.5687499999999999,10,6,16,350438,10000,blind,2
58,1.0,84.38488368037251,589.9375,0.60625,7,9,16,350561,10000,blind,3
55,1.0,85.46380812952346,591.25,0.54375,9,7,16,350540,10000,blind,4
40,1.0,86.08707437821313,590.875,0.5,10,6,16,350546,10000,blind,5
55,1.0,82.85093447722844,595.8125,0.44374999999999987,7,9,16,350467,10000,blind,6
49,1.0,87.76922866244183,596.25,0.51875,10,6,16,350460,10000,blind,7
75,1.0,83.33966642601828,587.5,0.59375,12,4,16,350600,10000,blind,8
49,1.0,80.82890881361692,594.25,0.5687499999999999,10,6,16,350492,10000,blind,9
48,1.0,82.2714400247741,585.3125,0.625,10,6,16,350635,10000,blind,10
49,1.0,95.4513742370952,584.3125,0.51875,10,6,16,350651,10000,blind,11
51,1.0,87.8873568836838,590.25,0.5687499999999999,11,5,16,350556,10000,blind,12
41,1.0,86.34630040569196,593.0625,0.5,10,6,16,350511,10000,blind,13
56,1.0,86.34197994023533,586.25,0.6312499999999999,12,4,16,350620,10000,blind,14
51,1.0,95.63178080533689,592.25,0.375,11,5,16,350524,10000,blind,15
56,1.0,94.26417333748809,589.125,0.5687499999999999,13,3,16,350574,10000,blind,16
36,1.0,89.48147067270408,586.0625,0.53125,11,5,16,350623,10000,blind,17
50,1.0,89.25207893236997,588.0625,0.5,10,6,16,350591,10000,blind,18
76,1.0,97.46978698550643,587.125,0.64375,8,8,16,350606,10000,blind,19
58,1.0,89.39831426682497,590.0625,0.44374999999999987,8,8,16,350559,10000,blind,20
33,1.0,83.27212074728251,588.5625,0.6312499999999999,12,4,16,350583,10000,blind,21
61,1.0,83.52320036971763,588.5,0.45625000000000004,9,7,16,350584,10000,blind,22
34,1.0,87.63683497108964,597.3125,0.44374999999999987,11,5,16,350443,10000,blind,23
52,1.0,85.70516320502517,587.5,0.5687499999999999,10,6,16,350600,10000,blind,24
59,1.0,82.11936339104194,589.6875,0.51875,11,5,16,350565,10000,blind,25
54,1.0,89.3523354129594,589.3125,0.6312499999999999,11,5,16,350571,10000,blind,26
62,1.0,86.46088349652692,594.375,0.44374999999999987,10,6,16,350490,10000,blind,27
58,1.0,86.86483753510393,588.5,0.5999999999999999,12,4,16,350584,10000,blind,28
60,1.0,90.16111880267458,587.8125,0.44374999999999987,10,6,16,350595,10000,blind,29
61,1.0,88.97331060492242,598.5,0.60625,9,7,16,350424,10000,blind,30
43,1.0,86.8982882455115,586.75,0.64375,11,5,16,350612,10000,blind,31
61,1.0,85.66203578598865,588.875,0.60625,9,7,16,350578,10000,blind,32
42,1.0,92.13608735859148,581.9375,0.54375,10,6,16,350689,10000,blind,33
63,1.0,84.61952991922136,581.6875,0.51875,7,9,16,350693,10000,blind,34
75,1.0,91.14049508176922,584.3125,0.5249999999999999,12,4,16,350651,10000,blind,35
52,1.0,80.7584892983394,595.9375,0.45625000000000004,11,5,16,350465,10000,blind,36
56,1.0,95.40497563020494,591.375,0.60625,12,4,16,350538,10000,blind,37
63,1.0,91.29448829885625,582.9375,0.5,11,5,16,350673,10000,blind,38
58,1.0,86.50196439243446,587.3125,0.51875,10,6,16,350603,10000,blind,39
85,1.0,84.92200005740563,583.4375,0.44374999999999987,11,5,16,350665,10000,blind,40
80,1.0,92.81365740019083,589.5,0.71875,8,8,16,350568,10000,blind,41
61,1.0,97.46744248080996,594.1875,0.5687499999999999,10,6,16,350493,10000,blind,42
41,1.0,90.25292152473514,594.3125,0.6812499999999999,15,1,16,350491,10000,blind,43
37,1.0,94.1235889668472,597.0,0.5249999999999999,9,7,16,350448,10000,blind,44
48,1.0,84.91282294212105,593.75,0.5687499999999999,10,6,16,350500,10000,blind,45
52,1.0,91.56111347073058,588.25,0.64375,10,6,16,350588,10000,blind,46
57,1.0,86.10111697155851,595.8125,0.6499999999999999,8,8,16,350467,10000,blind,47
47,1.0,87.54692937933346,591.3125,0.5687499999999999,8,8,16,350539,10000,blind,48
42,1.0,90.11971205013917,591.75,0.625,12,4,16,350532,10000,blind,49
63,1.0,86.34849448600711,582.75,0.54375,10,6,16,350676,10000,local,0
49,1.0,92.34156617553116,588.3125,0.54375,9,7,16,350587,10000,local,1
45,1.0,87.70511672644875,584.25,0.5687499999999999,13,3,16,350652,10000,local,2
47,1.0,92.2176221974412,583.6875,0.5999999999999999,11,5,16,350661,10000,local,3
63,1.0,87.82217473394746,598.375,0.5,10,6,16,350426,10000,local,4
54,1.0,90.33702089259972,594.1875,0.51875,9,7,16,350493,10000,local,5
59,1.0,92.19220326985358,584.8125,0.51875,9,7,16,350643,10000,local,6
63,1.0,87.21916987537774,591.9375,0.625,11,5,16,350529,10000,local,7
43,1.0,89.96075533253375,589.25,0.6312499999999999,11,5,16,350572,10000,local,8
55,1.0,85.48428218099512,590.25,0.53125,8,8,16,350556,10000,local,9
39,1.0,87.93088105864742,585.3125,0.7124999999999999,11,5,16,350635,10000,local,10
64,1.0,88.05884041366886,588.375,0.51875,9,7,16,350586,10000,local,11
88,1.0,92.67955545857997,593.5,0.5,8,8,16,350504,10000,local,12
55,1.0,88.9388615496623,585.5625,0.625,12,4,16,350631,10000,local,13
47,1.0,86.65031646653115,595.1875,0.58125,11,5,16,350477,10000,local,14
54,1.0,86.30822310185745,587.625,0.58125,12,4,16,350598,10000,local,15
46,1.0,96.88967630764384,586.875,0.54375,11,5,16,350610,10000,local,16
52,1.0,83.94489915265846,590.4375,0.625,13,3,16,350553,10000,local,17
43,1.0,84.33005747507825,591.9375,0.64375,11,5,16,350529,10000,local,18
54,1.0,84.70168239179196,584.0,0.5687499999999999,12,4,16,350656,10000,local,19
43,1.0,89.97254355496459,591.0625,0.58125,10,6,16,350543,10000,local,20
53,1.0,86.53465256040495,595.4375,0.64375,12,4,16,350473,10000,local,21
51,1.0,87.66127993589872,590.5,0.59375,9,7,16,350552,10000,local,22
39,1.0,84.57356265405875,591.75,0.5687499999999999,12,4,16,350532,10000,local,23
62,1.0,89.65051502222394,589.3125,0.44374999999999987,8,8,16,350571,10000,local,24
56,1.0,90.45248666427032,597.1875,0.44374999999999987,11,5,16,350445,10000,local,25
83,1.0,82.8197402495323,589.875,0.45625000000000004,11,5,16,350562,10000,local,26
52,1.0,80.10069346609929,596.4375,0.51875,10,6,16,350457,10000,local,27
57,1.0,89.47256475451009,591.3125,0.51875,10,6,16,350539,10000,local,28
55,1.0,87.27032356419907,586.625,0.60625,8,8,16,350614,10000,local,29
68,1.0,89.36433502801887,585.875,0.625,13,3,16,350626,10000,local,30
61,1.0,90.96487989878291,591.125,0.5687499999999999,9,7,16,350542,10000,local,31
67,1.0,91.42346525919919,591.0,0.5249999999999999,7,9,16,350544,10000,local,32
51,1.0,80.70816931234408,591.9375,0.5687499999999999,11,5,16,350529,10000,local,33
75,1.0,90.28669614068288,595.25,0.5,12,4,16,350476,10000,local,34
56,1.0,90.0713042192129,596.6875,0.60625,12,4,16,350453,10000,local,35
58,1.0,87.518904207891,590.9375,0.51875,10,6,16,350545,10000,local,36
54,1.0,84.99243992114828,591.6875,0.5249999999999999,11,5,16,350533,10000,local,37
77,1.0,94.5495075344129,597.375,0.38124999999999987,10,6,16,350442,10000,local,38
50,1.0,88.85889006593544,585.1875,0.6499999999999999,11,5,16,350637,10000,local,39
54,1.0,86.66257752773107,599.1875,0.53125,11,5,16,350413,10000,local,40
49,1.0,82.63540025316027,598.625,0.54375,12,4,16,350422,10000,local,41
56,1.0,91.2325111665244,585.5625,0.6312499999999999,14,2,16,350631,10000,local,42
49,1.0,89.76497089622433,598.5,0.625,12,4,16,350424,10000,local,43
67,1.0,82.13458372543201,596.3125,0.58125,11,5,16,350459,10000,local,44
50,1.0,89.3335568249692,590.875,0.5,11,5,16,350546,10000,local,45
87,1.0,90.87482806036003,598.625,0.575,11,5,16,350422,10000,local,46
